Account,date,daily_pnl,num_trades,avg_trade_size_usd,wins,losses,Classification,win_rate,long_ratio,activity_segment,consistency_segment,size_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,1756.5103076923076,0,10,Extreme Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,1499.4978378378378,0,0,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,1225.1170212765958,47,0,Fear,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,2676.518153846154,57,0,Fear,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,3326.2756603773582,51,1,Extreme Fear,0.9807692307692307,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,2184.328113207547,52,0,Fear,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,4259.311481481482,0,10,Neutral,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,1460.115,0,0,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,580.479381443299,0,97,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,730.8744516129032,83,0,Fear,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,54768.6,0,0,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,16.37,0,0,Fear,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,780.4484090909092,1,87,Fear,0.011363636363636364,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,730.92608,20,47,Fear,0.29850746268656714,0.6896551724137931,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,766.7829027576198,301,0,Fear,1.0,0.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,552.0850851581508,297,0,Fear,1.0,0.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,963.6022222222223,249,86,Fear,0.7432835820895523,0.0,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,887.6931958762888,97,0,Fear,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,568,2593.2515492957746,336,4,Greed,0.9882352941176471,0.75,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,680,1679.7829852941175,333,68,Greed,0.830423940149626,0.8494623655913979,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,330,3782.839757575757,40,57,Greed,0.41237113402061853,0.14960629921259844,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,338,284.5678402366864,0,338,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,67,1435.3307462686569,0,0,Greed,0.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,83,1221.0467469879518,83,0,Greed,1.0,,Frequent,Inconsistent,Small Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,250,815.50576,81,0,Neutral,1.0,,Frequent,Inconsistent,Small Size
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,5,6070.2,0,2,Neutral,0.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1,1584.35,1,0,Extreme Greed,1.0,,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,4,39530.9875,3,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,797,6131.710464240904,300,6,Extreme Fear,0.9803921568627451,0.15071283095723015,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,339,21898.95651917404,189,42,Fear,0.8181818181818182,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,313,8678.024504792333,40,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,863,3079.8473348783314,424,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,353,1965.9329745042492,61,0,Fear,1.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,594,8110.89095959596,0,233,Neutral,0.0,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,469,20030.785479744136,66,170,Greed,0.2796610169491525,0.0,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,70,15603.565285714287,66,4,Greed,0.9428571428571428,,Frequent,Inconsistent,Large Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,1,0.17,0,0,Greed,0.0,,Frequent,Inconsistent,Large Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,93,373.7049462365591,16,10,Extreme Greed,0.6153846153846154,0.43137254901960786,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,95,353.5228421052631,34,10,Extreme Greed,0.7727272727272727,0.3877551020408163,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,162,666.941975308642,67,26,Extreme Greed,0.7204301075268817,0.6176470588235294,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,213,895.9638028169014,104,15,Extreme Greed,0.8739495798319328,0.7391304347826086,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,407,2149.553218673219,141,77,Extreme Greed,0.6467889908256881,0.8306878306878307,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,446,729.007130044843,156,79,Extreme Greed,0.6638297872340425,0.825,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,433,422.0099076212471,135,94,Extreme Greed,0.5895196506550219,0.7524752475247525,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,156,333.45923076923077,63,14,Extreme Greed,0.8181818181818182,0.6933333333333334,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,69,200.7391304347826,29,6,Extreme Greed,0.8285714285714286,0.8484848484848485,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,225,324.3673333333333,95,44,Extreme Greed,0.6834532374100719,0.4457831325301205,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,217,1012.5778341013826,76,40,Extreme Greed,0.6551724137931034,0.8736842105263158,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,169,1110.83224852071,74,19,Extreme Greed,0.7956989247311828,0.5135135135135135,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,207,946.0768115942029,78,37,Extreme Greed,0.6782608695652174,0.7126436781609196,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,206,388.948786407767,92,16,Extreme Greed,0.8518518518518519,0.4166666666666667,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,154,315.52253246753247,71,16,Extreme Greed,0.8160919540229885,0.2857142857142857,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,193,247.12725388601035,97,11,Extreme Greed,0.8981481481481481,0.2549019607843137,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,140,140.36935714285713,73,2,Extreme Greed,0.9733333333333334,0.05128205128205128,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,78,92.37217948717948,37,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,112,165.78285714285715,60,1,Extreme Greed,0.9836065573770492,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,98,259.2459183673469,48,0,Extreme Greed,1.0,0.125,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,69,129.80536231884057,16,0,Greed,1.0,0.02702702702702703,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,86,159.67825581395348,36,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,102,77.67176470588235,43,0,Extreme Greed,1.0,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,213,88.1318309859155,126,3,Extreme Greed,0.9767441860465116,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,157,119.62222929936306,106,4,Extreme Greed,0.9636363636363636,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,93,124.41204301075268,32,8,Greed,0.8,0.1346153846153846,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147,150.14530612244897,82,5,Extreme Greed,0.9425287356321839,0.038461538461538464,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,155,88.59193548387097,71,11,Extreme Greed,0.8658536585365854,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,154,187.5361038961039,119,3,Extreme Greed,0.9754098360655737,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,137,125.00722627737227,68,3,Extreme Greed,0.9577464788732394,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,230,131.2383043478261,154,2,Extreme Greed,0.9871794871794872,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,181,112.67668508287292,78,1,Extreme Greed,0.9873417721518988,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,191,124.92068062827224,80,5,Extreme Greed,0.9411764705882353,0.0,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,204,197.00485294117647,80,14,Extreme Greed,0.851063829787234,0.4090909090909091,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,194,289.6046907216495,111,10,Greed,0.9173553719008265,0.35714285714285715,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,107,215.33785046728974,54,1,Greed,0.9818181818181818,0.0967741935483871,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,79,174.83481012658228,41,1,Greed,0.9761904761904762,0.2631578947368421,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,95,212.30473684210526,29,1,Greed,0.9666666666666667,0.8571428571428571,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,48,282.42354166666667,15,1,Greed,0.9375,0.037037037037037035,Frequent,Inconsistent,Small Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,66,284.1157575757576,30,6,Greed,0.8333333333333334,0.0,Frequent,Inconsistent,Small Size
